date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2022-11-03,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,269.0599975585937,276.2900085449219,268.79998779296875,271.25,7057400.0,308,-1.4432243375114728,-3.940002441406307,283.28200073242186,287.5010009765625,262.6955001831055,244.2174008178711,267.21960075378416,52.96004344640844,-0.014432243375114728,0.03738569880981399,0.11356437380523338,0.2194127903844847,23.295237883860924,-0.31928315135614804,8361400.0,-0.09389103742704386,0.003356182444039346,0.12098988738108574,122522389208.25192,4.125632460331192
2022-11-04,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,260.7900085449219,274.9700012207031,255.32000732421875,272.0199890136719,11124700.0,309,-3.073659811459284,-8.269989013671818,276.29600219726564,284.6230010986328,264.49750061035155,244.75360107421875,265.9823007965088,48.921105754587046,-0.03073659811459284,0.032986147104866345,0.07567770844640218,0.21058380094674736,22.579221519040853,0.5763170572732168,8594240.0,-0.11811846520896008,-0.09938874210502469,0.16035598907640436,118756467771.11816,3.9988245534294733
2022-11-07,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,258.6000061035156,261.1499938964844,252.08999633789065,261.0599975585937,7927000.0,312,-0.8397570342611571,-2.19000244140625,269.64000244140624,282.2380004882813,265.9285011291504,245.46000122070313,265.2878008270264,47.879759567130854,-0.008397570342611571,0.035269058872098795,0.07395909468949823,0.2106242841444701,22.3896109180533,-0.2874414590955262,8678620.0,-0.11401945396245461,-0.08443974180476921,0.12444565139432018,117759201979.37012,3.9652441429542873
2022-11-08,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,263.4599914550781,266.0799865722656,256.8800048828125,259.9200134277344,7683800.0,313,1.8793446391556001,4.8599853515625,264.98200073242185,279.48200073242185,268.38700103759766,246.2378009033203,264.6693508148193,50.40283792470422,0.018793446391556,0.05598436783559361,0.06786472326915803,0.1953774423470882,22.810388870569533,-0.030679954585593583,8832100.0,-0.0812206052133283,-0.09470139027906777,0.22945540953604215,119972303228.88184,4.03976474618433
2022-11-09,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,254.66000366210935,260.8999938964844,254.22000122070312,259.6600036621094,7266000.0,314,-3.340160964997696,-8.799987792968778,261.3140014648437,275.08600158691405,270.0765014648438,246.9180010986328,264.1105507659912,46.05536990962492,-0.03340160964997696,0.046942170764633,0.058414414564212196,0.19913927505750317,22.04848516555059,-0.054374137796402766,8211780.0,-0.0671794737651672,-0.14721047543325738,0.15298596138870657,115965035187.62206,3.904830101054543
2022-11-10,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,274.9700012207031,275.3599853515625,260.0899963378906,265.989990234375,9667300.0,315,7.97533859519679,20.30999755859378,262.4960021972656,272.8890014648438,272.1995018005371,247.946201171875,263.6869007110596,55.578633490777676,0.0797533859519679,0.10433962806686388,0.11225978945632042,0.2071992450540381,23.80692651261499,0.33048444811450595,8733760.0,0.021965374696111706,-0.07398801454862369,0.18261583466090014,125213639395.87402,4.216253523180808
2022-11-11,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,290.1300048828125,290.6600036621094,271.5599975585937,274.4700012207031,9573800.0,316,5.513330034115715,15.160003662109375,268.36400146484374,272.3300018310547,275.20600204467775,249.1480014038086,263.20405067443846,61.099050724383225,0.055133300341157154,0.10269003240574633,0.1284765695787625,0.2108916058929937,25.119480942234848,-0.009671780124750451,8423580.0,0.11250429608708234,-0.018903003905098248,0.2614348038383152,132117080583.4961,4.4487094949887975
2022-11-14,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,299.2699890136719,311.0,288.19000244140625,290.0,17978200.0,319,3.1503064064508424,9.139984130859375,276.497998046875,273.0690002441406,277.91450119018555,250.611201171875,262.778600692749,64.00354509480405,0.031503064064508424,0.09522379915739868,0.13159915717261175,0.20453405876651012,25.91082155962527,0.8778541436002423,10433820.0,0.1572698451286052,0.02531856929982723,0.22101175667567352,136279173437.13379,4.588857475213817
2022-11-15,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,310.20001220703125,312.7099914550781,302.54998779296875,309.20001220703125,14626900.0,320,3.65222828703351,10.930023193359375,285.84600219726565,275.41400146484375,281.38150177001955,252.44740142822266,262.193900680542,67.16115541815545,0.0365222828703351,0.09417745454537212,0.13318801054611418,0.20377885562989884,26.85714391402868,-0.18640909546005713,11822440.0,0.17740841975212263,0.08177859531658682,0.28788512588627624,141256399958.74023,4.756453025975227
2022-11-16,2024.0,,29697844000.0,12365161000.0,5116228000.0,6194509000.0,11.55,11.24,2273885000.0,6170652000.0,0.4163656123,0.2085844683,0.172276075,455372000.0,306.0199890136719,310.489990234375,303.6099853515625,309.94000244140625,8038600.0,321,-1.3475251543734856,-4.180023193359375,296.1179992675781,278.71600036621095,283.0635009765625,253.98860107421876,261.4383506011963,64.81937623812958,-0.013475251543734856,0.07690031796111137,0.12078512671883748,0.16355471055061796,26.495237144040853,-0.45042353472027563,11976960.0,0.20168061184711417,0.12095234070942085,0.12350386786039036,139352934437.1338,4.6923586249942515
