,Predictions
2023-01-03,2364.285512119456
2023-01-04,2659.5665933303108
2023-01-05,2732.019997018966
2023-01-06,2400.5387237056675
2023-01-07,4166.874355387368
2023-01-08,2945.4051808919276
2023-01-09,2384.7571080731104
2023-01-10,2350.4058896468873
2023-01-11,3873.735490234375
2023-01-12,2477.518479937455
2023-01-13,2873.688047484964
2023-01-14,2730.1664356487945
2023-01-15,2639.3219932859383
2023-01-16,4534.63555078125
2023-01-17,2913.9726186711196
2023-01-18,2773.6262854492193
2023-01-19,3849.5644794921873
2023-01-20,2811.927729585722
2023-01-21,2507.9703119756796
2023-01-22,4437.222764908854
2023-01-23,2468.132302578203
2023-01-24,3939.6279250488283
2023-01-25,2344.546676565988
2023-01-26,2275.940135498047
2023-01-27,2783.412750059485
2023-01-28,4709.918065022787
2023-01-29,4205.241319726563
2023-01-30,2604.5033778483075
2023-01-31,3826.521986328125
2023-02-01,2312.336681070964
2023-02-02,2630.924661442057
2023-02-03,4683.948776139323
2023-02-04,3813.6831137695312
2023-02-05,2475.2283056364427
2023-02-06,4697.674923992437
2023-02-07,3374.2190567809093
2023-02-08,2663.3464223425494
2023-02-09,2833.417927567739
2023-02-10,4546.442177864583
2023-02-11,4367.783011132812
2023-02-12,2727.103073225136
2023-02-13,2918.6883653785344
2023-02-14,2801.8169476097505
2023-02-15,2650.4639306239537
2023-02-16,2678.8288951191253
2023-02-17,2338.4111509195964
2023-02-18,4257.279822265625
2023-02-19,2641.287331363738
2023-02-20,2773.767245125325
2023-02-21,2900.565393780544
2023-02-22,3208.3717414957687
2023-02-23,3251.592219921875
2023-02-24,2825.7878110278452
2023-02-25,2843.8307053130175
2023-02-26,2691.0777987845277
2023-02-27,2954.0568156901045
2023-02-28,3573.1782104492186
2023-03-01,3083.6556076822912
2023-03-02,4046.238932128906
2023-03-03,2878.5983947153245
2023-03-04,3222.142855294363
2023-03-05,4460.609287160529
2023-03-06,4400.233628295899
2023-03-07,4171.974032080078
2023-03-08,2865.9520964192707
2023-03-09,4401.518791493443
2023-03-10,3381.45264128418
2023-03-11,2925.9802047909475
2023-03-12,2923.6826283089927
2023-03-13,2881.8527955610966
2023-03-14,2924.679202291159
2023-03-15,2695.494793379719
2023-03-16,2747.6012129672717
2023-03-17,3508.2373188476563
2023-03-18,4173.675105761718
2023-03-19,3790.073294921875
2023-03-20,3320.804438582357
2023-03-21,4575.54957421875
2023-03-22,3800.0858256835936
2023-03-23,3023.6420430257162
2023-03-24,3622.5109677734376
