,Actual_Close,Predicted_Close
2022-02-02,402.5899963378906,
2022-02-03,396.3999938964844,
2022-02-04,404.0700073242188,
2022-02-07,407.8699951171875,
2022-02-08,411.2200012207031,
2022-02-09,422.2999877929688,
2022-02-10,421.55999755859375,
2022-02-11,408.5899963378906,
2022-02-14,408.6199951171875,
2022-02-15,426.4500122070313,
2022-02-16,420.0899963378906,
2022-02-17,402.5299987792969,
2022-02-18,400.2000122070313,
2022-02-22,373.6199951171875,
2022-02-23,367.2699890136719,
2022-02-24,382.4400024414063,
2022-02-25,396.3200073242188,
2022-02-28,401.8699951171875,
2022-03-01,396.2000122070313,
2022-03-02,407.4200134277344,
2022-03-03,395.30999755859375,
2022-03-04,366.5799865722656,
2022-03-07,331.0,
2022-03-08,332.7300109863281,
2022-03-09,346.3299865722656,
2022-03-10,340.739990234375,
2022-03-11,325.0799865722656,
2022-03-14,325.8500061035156,
2022-03-15,340.3299865722656,
2022-03-16,352.5899963378906,
2022-03-17,363.7999877929688,
2022-03-18,374.5,
2022-03-21,369.8299865722656,
2022-03-22,373.6600036621094,
2022-03-23,360.3200073242188,
2022-03-24,361.5499877929688,
2022-03-25,351.9599914550781,
2022-03-28,367.5,
2022-03-29,385.6900024414063,
2022-03-30,334.2799987792969,
2022-03-31,326.0899963378906,
2022-04-01,320.5400085449219,
2022-04-04,330.8500061035156,
2022-04-05,354.3299865722656,
2022-04-06,335.07000732421875,
2022-04-07,327.82000732421875,
2022-04-08,335.7799987792969,
2022-04-11,340.8900146484375,
2022-04-12,346.6000061035156,
2022-04-13,353.2200012207031,
2022-04-14,334.5299987792969,
2022-04-18,327.5599975585937,
2022-04-19,348.3900146484375,
2022-04-20,338.3500061035156,
2022-04-21,337.1600036621094,
2022-04-22,320.0,
2022-04-25,337.3699951171875,
2022-04-26,332.5899963378906,
2022-04-27,340.510009765625,
2022-04-28,353.0,
2022-04-29,336.1199951171875,
2022-05-02,347.8299865722656,
2022-05-03,344.7300109863281,
2022-05-04,339.70001220703125,
2022-05-05,309.2099914550781,
2022-05-06,293.3099975585937,
2022-05-09,290.5,
2022-05-10,290.32000732421875,
2022-05-11,279.45001220703125,
2022-05-12,285.32000732421875,
2022-05-13,289.6499938964844,
2022-05-16,279.8299865722656,
2022-05-17,298.2799987792969,
2022-05-18,262.82000732421875,
2022-05-19,276.3800048828125,
2022-05-20,268.6000061035156,
2022-05-23,256.4200134277344,
2022-05-24,246.2899932861328,
2022-05-25,256.1700134277344,
2022-05-26,278.4100036621094,
2022-05-27,291.0299987792969,
2022-05-31,290.0799865722656,
2022-06-01,290.0,
2022-06-02,301.94000244140625,
2022-06-03,304.6300048828125,
2022-06-06,310.2099914550781,
2022-06-07,306.0899963378906,
2022-06-08,300.5400085449219,
2022-06-09,287.6499938964844,
2022-06-10,278.07000732421875,
2022-06-13,257.989990234375,
2022-06-14,245.3300018310547,
2022-06-15,250.33999633789065,
2022-06-16,231.66000366210932,
2022-06-17,245.44000244140625,
2022-06-21,245.5599975585937,
2022-06-22,247.2899932861328,
2022-06-23,256.67999267578125,
2022-06-24,268.25,
2022-06-27,256.0199890136719,
2022-06-28,243.7899932861328,
2022-06-29,237.32000732421875,
2022-06-30,212.259994506836,
2022-07-01,220.6999969482422,
2022-07-05,243.6100006103516,
2022-07-06,241.82000732421875,
2022-07-07,255.25,
2022-07-08,262.1000061035156,
2022-07-11,257.7300109863281,
2022-07-12,261.489990234375,
2022-07-13,262.3900146484375,
2022-07-14,255.63999938964844,
2022-07-15,267.32000732421875,
2022-07-18,257.510009765625,
2022-07-19,265.260009765625,
2022-07-20,273.4100036621094,
2022-07-21,276.42999267578125,
2022-07-22,269.2200012207031,
2022-07-25,262.75,
2022-07-26,250.44000244140625,
2022-07-27,262.1600036621094,
2022-07-28,271.19000244140625,
2022-07-29,279.42999267578125,
2022-08-01,282.1400146484375,
2022-08-02,279.8099975585937,
2022-08-03,287.6499938964844,
2022-08-04,283.8500061035156,
2022-08-05,286.8699951171875,
2022-08-08,297.6499938964844,
2022-08-09,283.0599975585937,
2022-08-10,299.2900085449219,
2022-08-11,303.5,
2022-08-12,307.5599975585937,
2022-08-15,312.3999938964844,
2022-08-16,329.3099975585937,
2022-08-17,312.8800048828125,
2022-08-18,311.3099975585937,
2022-08-19,298.29998779296875,
2022-08-22,293.0799865722656,
2022-08-23,292.7900085449219,
2022-08-24,292.7699890136719,
2022-08-25,294.6400146484375,
2022-08-26,266.9100036621094,
2022-08-29,266.94000244140625,
2022-08-30,265.6400146484375,
2022-08-31,255.91000366210932,
2022-09-01,252.7100067138672,
2022-09-02,252.1699981689453,
2022-09-06,243.7100067138672,
2022-09-07,258.04998779296875,
2022-09-08,261.7099914550781,
2022-09-09,273.5599975585937,
2022-09-12,277.6199951171875,
2022-09-13,262.3299865722656,
2022-09-14,262.8399963378906,
2022-09-15,259.2200012207031,
2022-09-16,257.6499938964844,
2022-09-19,265.8299865722656,
2022-09-20,254.3699951171875,
2022-09-21,256.04998779296875,
2022-09-22,248.13999938964844,
2022-09-23,246.44000244140625,
2022-09-26,240.6199951171875,
2022-09-27,248.0500030517578,
2022-09-28,259.0299987792969,
2022-09-29,250.509994506836,
2022-09-30,246.07000732421875,
2022-10-03,254.259994506836,
2022-10-04,265.7099914550781,
2022-10-05,264.4100036621094,
2022-10-06,264.8800048828125,
2022-10-07,256.8399963378906,
